ObjectName,R,G,B
Modular_Curb_5_M_LOD0_vcflbc0dw_109_CitySample_HLOD0_00000000d5bcf363,159,159,223
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_110_CitySample_HLOD0_00000000d5bcf363,255,223,255
Modular_Curb_5_M_LOD0_vcflbc0dw_WHITE_111_CitySample_HLOD0_00000000d5bcf363,255,223,127
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_112_CitySample_HLOD0_00000000d5bcf363,255,223,191
Modular_Curb_5_M_LOD0_vcjmecpdw_113_CitySample_HLOD0_00000000d5bcf363,255,223,95
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_114_CitySample_HLOD0_00000000d5bcf363,255,223,159
Modular_Curb_5_M_LOD0_vccgfazdw_115_CitySample_HLOD0_00000000d5bcf363,127,223,255
Modular_Curb_5_M_LOD0_vccgfazdw_RED_116_CitySample_HLOD0_00000000d5bcf363,127,223,127
Modular_Median_4_M_LOD0_vcdmdexdw_117_CitySample_HLOD0_00000000d5bcf363,127,223,191
Modular_Median_4_M_LOD0_vcchabhdw_118_CitySample_HLOD0_00000000d5bcf363,127,223,95
SM_Plaza_Square_A_119_CitySample_HLOD0_00000000d5bcf363,127,223,159
SM_Sidewalk_1-5_3_C_120_CitySample_HLOD0_00000000d5bcf363,191,223,255
SM_Sidewalk_1-5_3_E_121_CitySample_HLOD0_00000000d5bcf363,191,223,127
SM_Sidewalk_1M_square_A_122_CitySample_HLOD0_00000000d5bcf363,191,223,191
SM_Sidewalk_3_3_A_123_CitySample_HLOD0_00000000d5bcf363,191,223,95
SM_Sidewalk_3_3_C_124_CitySample_HLOD0_00000000d5bcf363,191,223,159
SM_Sidewalk_3_3_E_125_CitySample_HLOD0_00000000d5bcf363,95,223,255
SM_Sidewalk_6_3_A_126_CitySample_HLOD0_00000000d5bcf363,95,223,127
SM_Sidewalk_6_3_B_127_CitySample_HLOD0_00000000d5bcf363,95,223,191
SM_Sidewalk_6_3_C_128_CitySample_HLOD0_00000000d5bcf363,95,223,95
SM_Sidewalk_6_3_D_129_CitySample_HLOD0_00000000d5bcf363,95,223,159
SM_Sidewalk_6_3_E_130_CitySample_HLOD0_00000000d5bcf363,159,223,255
SM_Sidewalk_Square_Parking_131_CitySample_HLOD0_00000000d5bcf363,159,223,127
SM_ROAD_19_20_0_0_road_132_CitySample_HLOD0_00000000d5bcf363,159,223,191
SM_ROAD_19_20_0_37_meshed_inter_133_CitySample_HLOD0_00000000d5bcf363,159,223,95
SM_ROAD_19_3_0_37_crosswalk_134_CitySample_HLOD0_00000000d5bcf363,159,223,159
SM_ROAD_19_5_0_37_buffer_135_CitySample_HLOD0_00000000d5bcf363,255,223,223
SM_ROAD_37_10_0_0_road_136_CitySample_HLOD0_00000000d5bcf363,127,223,223
SM_ROAD_37_10_0_37_meshed_inter_137_CitySample_HLOD0_00000000d5bcf363,191,223,223
SM_ROAD_37_20_0_0_road_138_CitySample_HLOD0_00000000d5bcf363,95,223,223
SM_ROAD_37_3_0_37_crosswalk_139_CitySample_HLOD0_00000000d5bcf363,159,223,223
SM_ROAD_37_5_0_0_road_140_CitySample_HLOD0_00000000d5bcf363,223,255,255
SM_ROAD_37_5_0_37_buffer_141_CitySample_HLOD0_00000000d5bcf363,223,255,127
SM_ROAD_37_5_0_37_meshed_inter_142_CitySample_HLOD0_00000000d5bcf363,223,255,191
SM_Barricade_A_143_CitySample_HLOD0_00000000d5bcf363,223,255,95
Pier_Roof_Mid_B_01_N1_144_CitySample_HLOD0_00000000d5bcf363,223,255,159
Pier_bldg_Wall_01_N1_145_CitySample_HLOD0_00000000d5bcf363,223,127,255
Pier_Deck_02_N1_146_CitySample_HLOD0_00000000d5bcf363,223,127,127
Pier_bldg_EndCap_B_01_N1_147_CitySample_HLOD0_00000000d5bcf363,223,127,191
SM_roof_exhaust_a_N1_148_CitySample_HLOD0_00000000d5bcf363,223,127,95
Pier_Deck_Corner_01_N1_149_CitySample_HLOD0_00000000d5bcf363,223,127,159
SM_roof_pipe_exhaust_b_N1_150_CitySample_HLOD0_00000000d5bcf363,223,191,255
uiyjbcega_LOD0_151_CitySample_HLOD0_00000000d5bcf363,223,191,127
SM_roof_pipe_a_N1_152_CitySample_HLOD0_00000000d5bcf363,223,191,191
Pier_bldg_EndCap_B_02_N1_153_CitySample_HLOD0_00000000d5bcf363,223,191,95
uiohfgxfa_LOD0_154_CitySample_HLOD0_00000000d5bcf363,223,191,159
SM_roof_pipe_b_N1_155_CitySample_HLOD0_00000000d5bcf363,223,95,255
Pier_Roof_B_01_N1_156_CitySample_HLOD0_00000000d5bcf363,223,95,127
SM_roof_Ac_pipe_a_N1_157_CitySample_HLOD0_00000000d5bcf363,223,95,191
Pier_Roof_Mid_B_03_N1_158_CitySample_HLOD0_00000000d5bcf363,223,95,95
Cement_Bollard_Closed_159_CitySample_HLOD0_00000000d5bcf363,223,95,159
Cement_Bollard__160_CitySample_HLOD0_00000000d5bcf363,223,159,255
Pier_Deck_01_N1_161_CitySample_HLOD0_00000000d5bcf363,223,159,127
SM_Cone_C_A_162_CitySample_HLOD0_00000000d5bcf363,223,159,191
SM_Sandbag_D01_N1_163_CitySample_HLOD0_00000000d5bcf363,223,159,95
uh4ffdmga_LOD0_164_CitySample_HLOD0_00000000d5bcf363,223,159,159
SM_CTY_StreetSign_A01_N1_165_CitySample_HLOD0_00000000d5bcf363,223,255,223
SM_Sandbag_F01_N1_166_CitySample_HLOD0_00000000d5bcf363,223,127,223
SM_CTY_StreetSign_E01_N1_167_CitySample_HLOD0_00000000d5bcf363,223,191,223
uhrhabqfa_LOD0_168_CitySample_HLOD0_00000000d5bcf363,223,95,223
SM_Sandbag_E01_N1_169_CitySample_HLOD0_00000000d5bcf363,223,159,223
SM_FWYBarrier_SignTrash_C01_N1_170_CitySample_HLOD0_00000000d5bcf363,223,223,255
SM_FWYBarrier_SignTrash_E01_N1_171_CitySample_HLOD0_00000000d5bcf363,223,223,127
Pier_bldg_Wall_02_N1_172_CitySample_HLOD0_00000000d5bcf363,223,223,191
Wooden_Pallet_LOD0_texcdfcda_173_CitySample_HLOD0_00000000d5bcf363,223,223,95
Trash_Bag_LOD0_vbelddldw_174_CitySample_HLOD0_00000000d5bcf363,223,223,159
SM_Sandbag_G03_N1_175_CitySample_HLOD0_00000000d5bcf363,223,223,223
SM_Sandbag_H03_N1_176_CitySample_HLOD0_00000000d5bcf363,255,255,79
SM_Sandbag_H01_N1_177_CitySample_HLOD0_00000000d5bcf363,255,127,79
SM_Sandbag_F03_N1_178_CitySample_HLOD0_00000000d5bcf363,255,191,79
SM_FWYBarrier_Sidewall_A01_N1_179_CitySample_HLOD0_00000000d5bcf363,255,95,79
uhrgdbffa_LOD0_180_CitySample_HLOD0_00000000d5bcf363,255,159,79
SM_roof_breaker_box_b_N1_181_CitySample_HLOD0_00000000d5bcf363,255,223,79
Trash_Bag_LOD0_vbzqfivfa_182_CitySample_HLOD0_00000000d5bcf363,127,255,79
S_Wooden_Cable_Reel_uldldbuga_lod0_Var1_183_CitySample_HLOD0_00000000d5bcf363,127,127,79
Concrete_Barrier_LOD0_ubitfhtfa_184_CitySample_HLOD0_00000000d5bcf363,127,191,79
S_Wooden_Cable_Reel_uldhdhdva_lod0_Var1_185_CitySample_HLOD0_00000000d5bcf363,127,95,79
SM_roof_storage_N1_186_CitySample_HLOD0_00000000d5bcf363,127,159,79
SM_Ladder_A01_N1_187_CitySample_HLOD0_00000000d5bcf363,127,223,79
SM_FWYTrash_Cup_B01_N1_188_CitySample_HLOD0_00000000d5bcf363,191,255,79
SM_ShippingContainer_B01_N1_189_CitySample_HLOD0_00000000d5bcf363,191,127,79
SM_BLDG_Prop_Lamp_Wall_A02_N1_190_CitySample_HLOD0_00000000d5bcf363,191,191,79
SM_FreewaySign_Frame_A_SpotLight_01_N1_191_CitySample_HLOD0_00000000d5bcf363,191,95,79
SM_FreewaySign_Frame_A_StructureR_01_N1_192_CitySample_HLOD0_00000000d5bcf363,191,159,79
SM_Scaffolding_N01_N1_193_CitySample_HLOD0_00000000d5bcf363,191,223,79
SM_FreewaySign_Frame_A_StructureL_01_N1_194_CitySample_HLOD0_00000000d5bcf363,95,255,79
SM_BLDG_Prop_RA_Marquee_A01_N1_195_CitySample_HLOD0_00000000d5bcf363,95,127,79
SM_FWYTrash_Bag_B01_N1_196_CitySample_HLOD0_00000000d5bcf363,95,191,79
SM_BLDG_Prop_FirehoseConn_Outlet_A01_N1_197_CitySample_HLOD0_00000000d5bcf363,95,95,79
SM_BLDG_Prop_AC_Window_A01_N1_198_CitySample_HLOD0_00000000d5bcf363,95,159,79
SM_FWYPoleMounted_A01_N1_199_CitySample_HLOD0_00000000d5bcf363,95,223,79
SM_FWYTrash_Lid_A01_N1_200_CitySample_HLOD0_00000000d5bcf363,159,255,79
SM_FreewaySign_Frame_A_Pole_01_N1_201_CitySample_HLOD0_00000000d5bcf363,159,127,79
SM_Fence_ChainLink_A03_N1_202_CitySample_HLOD0_00000000d5bcf363,159,191,79
SM_BLDG_Prop_FirehoseConn_Outlet_C01_N1_203_CitySample_HLOD0_00000000d5bcf363,159,95,79
SM_Scaffolding_I01_N1_204_CitySample_HLOD0_00000000d5bcf363,159,159,79
SM_Scaffolding_G01_N1_205_CitySample_HLOD0_00000000d5bcf363,159,223,79
SM_LumberPile_A02_N1_206_CitySample_HLOD0_00000000d5bcf363,223,255,79
uhcjaisfa_LOD0_0_CitySample_HLOD0_Only_0000000092d7dbda,223,127,79
ui1lbhlbb_LOD0_1_CitySample_HLOD0_Only_0000000092d7dbda,223,191,79
ujpkaadfa_LOD0_2_CitySample_HLOD0_Only_0000000092d7dbda,223,95,79
SM_CityEdge_Wall_A_N1_3_CitySample_HLOD0_Only_0000000092d7dbda,223,159,79
SM_PoleSign_A_4_CitySample_HLOD0_Only_0000000092d7dbda,223,223,79
SM_Railing_A_Pole_N01_5_CitySample_HLOD0_Only_0000000092d7dbda,255,79,255
SM_Railing_A_Railing_N01_6_CitySample_HLOD0_Only_0000000092d7dbda,255,79,127
SM_Railing_B_post_N01_7_CitySample_HLOD0_Only_0000000092d7dbda,255,79,191
SM_Railing_B_railing_N01_8_CitySample_HLOD0_Only_0000000092d7dbda,255,79,95
SM_StreetLamp_A_Banner_2_9_CitySample_HLOD0_Only_0000000092d7dbda,255,79,159
SM_StreetLamp_A_Banner_3_10_CitySample_HLOD0_Only_0000000092d7dbda,255,79,223
SM_StreetLamp_A_Banner_4_11_CitySample_HLOD0_Only_0000000092d7dbda,127,79,255
SM_StreetLamp_A_Banner_12_CitySample_HLOD0_Only_0000000092d7dbda,127,79,127
SM_StreetLamp_A_Pole_Large_13_CitySample_HLOD0_Only_0000000092d7dbda,127,79,191
SM_StreetLamp_B_14_CitySample_HLOD0_Only_0000000092d7dbda,127,79,95
uioiajafa_LOD0_0_CitySample_HLOD0_000000000b5b730c,127,79,159
ujcheg1ba_LOD0_1_CitySample_HLOD0_000000000b5b730c,127,79,223
Modular_Curb_5_M_LOD0_vcflbc0dw_2_CitySample_HLOD0_000000000b5b730c,191,79,255
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_3_CitySample_HLOD0_000000000b5b730c,191,79,127
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_4_CitySample_HLOD0_000000000b5b730c,191,79,191
Modular_Curb_5_M_LOD0_vcjmecpdw_5_CitySample_HLOD0_000000000b5b730c,191,79,95
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_6_CitySample_HLOD0_000000000b5b730c,191,79,159
Modular_Curb_5_M_LOD0_vcjmecpdw_WHITE_7_CitySample_HLOD0_000000000b5b730c,191,79,223
Modular_Curb_5_M_LOD0_vccgfazdw_8_CitySample_HLOD0_000000000b5b730c,95,79,255
Modular_Curb_5_M_LOD0_vccgfazdw_RED_9_CitySample_HLOD0_000000000b5b730c,95,79,127
Modular_Curb_5_M_LOD0_vccgfazdw_WHITE_10_CitySample_HLOD0_000000000b5b730c,95,79,191
SM_Plaza_Square_D_11_CitySample_HLOD0_000000000b5b730c,95,79,95
SM_Sidewalk_1-5_3_A_12_CitySample_HLOD0_000000000b5b730c,95,79,159
SM_Sidewalk_1-5_3_C_13_CitySample_HLOD0_000000000b5b730c,95,79,223
SM_Sidewalk_1-5_3_E_14_CitySample_HLOD0_000000000b5b730c,159,79,255
SM_Sidewalk_1M_square_A_15_CitySample_HLOD0_000000000b5b730c,159,79,127
SM_Sidewalk_6_3_A_16_CitySample_HLOD0_000000000b5b730c,159,79,191
SM_Sidewalk_6_3_B_17_CitySample_HLOD0_000000000b5b730c,159,79,95
SM_Sidewalk_6_3_C_18_CitySample_HLOD0_000000000b5b730c,159,79,159
SM_Sidewalk_6_3_D_19_CitySample_HLOD0_000000000b5b730c,159,79,223
SM_Sidewalk_6_3_E_20_CitySample_HLOD0_000000000b5b730c,223,79,255
SM_Sidewalk_Square_A_21_CitySample_HLOD0_000000000b5b730c,223,79,127
SM_Sidewalk_Square_Parking_22_CitySample_HLOD0_000000000b5b730c,223,79,191
SM_INTER_0_23_CitySample_HLOD0_000000000b5b730c,223,79,95
SM_INTER_1_24_CitySample_HLOD0_000000000b5b730c,223,79,159
SM_ROAD_37_20_0_0_road_25_CitySample_HLOD0_000000000b5b730c,223,79,223
SM_ROAD_37_20_0_37_meshed_inter_26_CitySample_HLOD0_000000000b5b730c,255,79,79
SM_ROAD_37_3_0_37_crosswalk_27_CitySample_HLOD0_000000000b5b730c,127,79,79
SM_ROAD_37_5_0_37_buffer_28_CitySample_HLOD0_000000000b5b730c,191,79,79
Modular_Curb_5_M_LOD0_vcflbc0dw_29_CitySample_HLOD0_000000000b5b730c,95,79,79
